Date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2018-2-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7614;10.1706;9.1599;11.0085;8.3103;10.8756;7.2069;2.9244;0.1818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3182;5.0325;3.0894;4.6356;9.5604;2.5254;0.9012;1.7316;0.249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.1367;9.7902;17.85;21.8211;22.9791;21.1509;16.4466;9.4323;1.2471;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5148;1.6242;2.6892;4.458;7.5045;1.8522;3.6876;1.6638;1.7445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.285;0.6858;1.3554;1.4909999999999999;1.4388;2.694;2.1042;1.2972;0.8892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8080000000000003;6.5376;2.8686;15.981;20.3118;9.3531;3.1662;1.6536;0.084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4098;9.1377;8.1996;2.7138;3.7584;4.665;5.3268;1.8858;1.0071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2496;4.383;5.1246;4.1508;6.309;4.6416;4.2858;4.2303;1.0422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3318;3.3834;9.0345;8.3853;15.3666;16.0356;11.7123;10.4754;4.1952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-2-21;0.0;0.0;0.0;0.0;0.0;0.0;0.0858;1.2036;2.2446;5.9652;5.0184;2.8704;1.4172;4.9866;3.7965;3.1113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
