,date,shops,office_building,industrial_park
167,2020-01-02 17:45:00,160.46,46.8,44.636
168,2020-01-02 18:00:00,157.90400000000002,47.424,44.13999999999999
169,2020-01-02 18:15:00,152.94400000000005,46.488,52.728
170,2020-01-02 18:30:00,155.424,45.24,44.152
171,2020-01-02 18:45:00,151.72799999999995,44.61600000000001,43.48
172,2020-01-02 19:00:00,147.59199999999996,42.12,41.75599999999999
173,2020-01-02 19:15:00,150.90400000000002,42.431999999999995,35.38799999999999
174,2020-01-02 19:30:00,146.78799999999998,43.368,25.651999999999997
175,2020-01-02 19:45:00,137.76399999999998,42.431999999999995,20.42
176,2020-01-02 20:00:00,132.29999999999998,42.431999999999995,19.156
177,2020-01-02 20:15:00,79.016,42.431999999999995,25.76
178,2020-01-02 20:30:00,37.008,42.744,24.748
179,2020-01-02 20:45:00,21.436,42.12,24.156
180,2020-01-02 21:00:00,20.316,42.744,22.136000000000006
181,2020-01-02 21:15:00,18.656,42.431999999999995,24.176
182,2020-01-02 21:30:00,20.160000000000004,42.431999999999995,16.956
183,2020-01-02 21:45:00,19.384,41.496,13.64
184,2020-01-02 22:00:00,16.412,40.872,11.075999999999999
185,2020-01-02 22:15:00,15.508,40.56,9.8
186,2020-01-02 22:30:00,14.771999999999998,39.936,9.212
187,2020-01-02 22:45:00,13.812000000000001,40.56,8.62
188,2020-01-02 23:00:00,14.868,40.248000000000005,9.279999999999998
189,2020-01-02 23:15:00,14.928,40.872,8.116
190,2020-01-02 23:30:00,16.927999999999994,40.56,8.62
191,2020-01-02 23:45:00,15.564,40.56,8.395999999999999
192,2020-01-03 00:00:00,12.696,40.872,8.976
193,2020-01-03 00:15:00,15.636,40.872,9.488
194,2020-01-03 00:30:00,14.472000000000001,40.56,8.904
195,2020-01-03 00:45:00,17.732000000000006,40.56,9.116
196,2020-01-03 01:00:00,16.592,40.872,8.94
197,2020-01-03 01:15:00,14.092,41.184,10.255999999999998
198,2020-01-03 01:30:00,17.316000000000006,40.872,9.088
199,2020-01-03 01:45:00,15.944,41.184,9.195999999999998
200,2020-01-03 02:00:00,15.8,40.56,13.588
201,2020-01-03 02:15:00,16.084,41.184,13.007999999999996
202,2020-01-03 02:30:00,16.432000000000002,40.56,9.736
203,2020-01-03 02:45:00,15.628,41.184,9.556000000000001
204,2020-01-03 03:00:00,16.444000000000003,40.56,8.996
205,2020-01-03 03:15:00,17.204,41.496,9.18
206,2020-01-03 03:30:00,18.004,40.56,9.248
207,2020-01-03 03:45:00,16.532,40.872,9.72
208,2020-01-03 04:00:00,17.648,40.872,8.687999999999999
209,2020-01-03 04:15:00,17.188000000000006,40.872,10.959999999999996
210,2020-01-03 04:30:00,16.264,40.872,17.464000000000002
211,2020-01-03 04:45:00,17.436000000000003,40.248000000000005,12.192
212,2020-01-03 05:00:00,17.928,40.56,10.36
213,2020-01-03 05:15:00,18.828,40.248000000000005,14.235999999999999
214,2020-01-03 05:30:00,21.548000000000005,39.936,13.152000000000001
